sp	ENGLISH	CHINESE	JAPAN	SPANISH	SWAHILI	DANISH	THAI	INDONESIA	VIETNAM	PORTOGUESE	KOREA	BURMESE
L_2	Auto Spin	自动旋转	オートスピン	Giro automático	AutoSpin	AutoSpin	ออโต้สปิน	Putaran Otomatis	Quay tự động	Girar automaticamente	자동 회전	AutoSpin
L_3	Total Bet Options	押分选项	合計ベットオプション	Opciones de apuesta total	總投注選項	Samlede indsatsmuligheder	ตัวเลือกการเดิมพันรวม	Total Opsi Taruhan	Tổng số tùy chọn cược	Opções de aposta total	총 베팅 옵션	စုစုပေါင်းလောင်းကစားရွေးချယ်မှုများ
L_4	Continue	继续	続く	Continuar	Endelea	Fortsætte	ดำเนินการต่อ	Melanjutkan	Tiếp tục	Continuar	계속하다	ဆက်ရန်
L_5	Feature	特色	特徴	Características	Vipengele	Funktioner	คุณสมบัติ	Fitur	Đặc trưng	Características	특징	အင်္ဂါရပ်များ
L_6	LINE(S) 50	线数 50	リール(5)S	Carrete(5)S	Reel(5)S	Spole(5)S	รีล(5)S	gulungan(5)S	Cuộn(5)S	Carretel(5)S	릴(5)S	Reel(5)S
L_7	GOODLUCK!	祝您好运!	幸運を	BUENA SUERTE	GOODLUCK	LYKKE TIL	ขอให้โชคดี	SEMOGA BERUNTUNG	CHÚC MAY MẮN	BOA SORTE	행운을 빌어요	GOODLUCK
L_8	PLACE YOUR BETS!	请下注!	賭ける	HAGA SUS APUESTAS	WEKA DAU ZAKO	PLACER DINE INDSATS	วางเดิมพันของคุณ	PASANG TARUHAN ANDA	ĐẶT CƯỢC CỦA BẠN	Pimentas:	베팅하세요	သင်၏အလောင်းအစားများကို နေရာချပါ။
L_9	WIN	赢 分	勝つ	GANAR	SHINDA	VINDE	ชนะ	MENANG	THẮNG	VITÓRIA	이기다	အနိုင်ရ
L_10	BASE GAME PAYS	游戏规则	ベースゲームは有料	EL JUEGO BASE PAGA	BASE GAME INALIPA	BASESPIL BETALER	การจ่ายเงินของเกมพื้นฐาน	GAME DASAR MEMBAYAR	TRÒ CHƠI CƠ BẢN TRẢ TIỀN	O JOGO BASE PAGA	기본 게임 지불	အခြေခံဂိမ်းပေးချေသည်။
L_11	Denomination	Denomination:	宗派	Denominación	Dhehebu	Pålydende	นิกาย	Denominasi	Mệnh giá	Saldo	명칭	ဂိုဏ်းခွဲ
